date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:42	15107/15107	---MCZ	200	added ('OK')	text/html	etag:W/%2296e960a6ed5ca668f1e20fb810e960a0%22,3301925565	https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html	(from )
15:00:42	114/114	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2007:00:43%20GMT	https://tad.gitbooks.io/robots.txt		(from )
15:00:44	92815/92815	---MC-	200	added ('OK')	image/png	etag:%22b60838613f47fd8381352ba1834be81b%22,3797053391	https://tad.gitbooks.io/ck2_learning/content/gitbook/images/apple-touch-icon-precomposed-152.png	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/gitbook/images/apple-touch-icon-precomposed-152.png	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:45	4286/4286	---MC-	200	added ('OK')	image/x-icon	etag:%22d920f3d126f9d3806bbab5412541e7b6%22,1706289869	https://tad.gitbooks.io/ck2_learning/content/gitbook/images/favicon.ico	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/gitbook/images/favicon.ico	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:46	17525/17525	---MCZ	200	added ('OK')	text/html	etag:W/%220893a8804dca14bea66cec131425f154%22,1162679790	https://tad.gitbooks.io/ck2_learning/content/ji_ben_she_ding.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/ji_ben_she_ding.html	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:47	12379/12379	---MCZ	200	added ('OK')	text/html	etag:W/%222d66e26d296f1bab20e8060f20312c84%22,1633445444	https://tad.gitbooks.io/ck2_learning/content/index.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/index.html	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:48	81361/81361	---MCZ	200	added ('OK')	text/css	etag:W/%22fc89f0b140c880ac6086da6ebea441f1%22,4043314030	https://tad.gitbooks.io/ck2_learning/content/gitbook/style.css	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/gitbook/style.css	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:49	13497/13497	---MCZ	200	added ('OK')	text/html	etag:W/%22ec4878912cb544ae577314974b2146d7%22,3569313535	https://tad.gitbooks.io/ck2_learning/content/dong_tai_dns_she_ding.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/dong_tai_dns_she_ding.html	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:50	12426/12426	---MCZ	200	added ('OK')	text/html	etag:W/%222bca80cb8740f00552c42e7205e3e7f5%22,1596427509	https://tad.gitbooks.io/ck2_learning/content/zi_hai_ce_shi_yong_wang_zhi.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/zi_hai_ce_shi_yong_wang_zhi.html	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
15:00:51	12760/12760	---MCZ	200	added ('OK')	text/html	etag:W/%2285f3f27006e9faa36770c813988b2198%22,2233653949	https://tad.gitbooks.io/ck2_learning/content/jian_li_duo_wang_zhan_xu_ni_zhu_ji.html	C:/Users/RD/Desktop/UniForm_Server/tad.gitbooks.io/ck2_learning/content/jian_li_duo_wang_zhan_xu_ni_zhu_ji.html	(from https://tad.gitbooks.io/ck2_learning/content/uniform_server_zheng_he_si_fu_qi.html)
